minute,player_id,player_name,team_name,x,y,end_x,end_y,pass_recipient_id,pass_recipient_name,outcome_id,outcome_name
6,8519.0,Dayotchanculle Upamecano,France,23.6,27.3,50.9,64.1,5477.0,Ousmane Dembélé,,
6,5477.0,Ousmane Dembélé,France,52.2,66.7,45.8,60.5,5487.0,Antoine Griezmann,,
6,5487.0,Antoine Griezmann,France,51.8,59.0,51.2,45.5,10481.0,Aurélien Djani Tchouaméni,,
6,10481.0,Aurélien Djani Tchouaméni,France,63.8,13.0,61.0,5.1,3026.0,Adrien Rabiot,,
6,3026.0,Adrien Rabiot,France,52.9,6.6,53.5,19.2,10481.0,Aurélien Djani Tchouaméni,,
6,10481.0,Aurélien Djani Tchouaméni,France,50.9,26.0,46.0,49.4,5485.0,Raphaël Varane,,
7,5485.0,Raphaël Varane,France,67.0,51.1,99.9,8.9,,,9.0,Incomplete
7,7797.0,Rodrigo Javier De Paul,Argentina,20.2,71.2,16.1,60.3,29201.0,Nahuel Molina Lucero,,
7,29201.0,Nahuel Molina Lucero,Argentina,16.3,60.3,47.1,63.9,5503.0,Lionel Andrés Messi Cuccittini,9.0,Incomplete
7,38718.0,Enzo Fernandez,Argentina,34.3,50.2,38.8,53.4,5503.0,Lionel Andrés Messi Cuccittini,,
7,5503.0,Lionel Andrés Messi Cuccittini,Argentina,39.2,48.1,65.3,35.4,27886.0,Alexis Mac Allister,,
7,27886.0,Alexis Mac Allister,Argentina,75.8,26.9,94.2,14.1,2995.0,Ángel Fabián Di María Hernández,,
7,2995.0,Ángel Fabián Di María Hernández,Argentina,98.5,10.2,92.9,11.3,27886.0,Alexis Mac Allister,,
7,27886.0,Alexis Mac Allister,Argentina,89.5,12.3,84.1,21.3,38718.0,Enzo Fernandez,,
7,38718.0,Enzo Fernandez,Argentina,88.0,23.9,93.7,20.3,27886.0,Alexis Mac Allister,9.0,Incomplete
7,29560.0,Julián Álvarez,Argentina,110.6,17.9,106.4,12.3,2995.0,Ángel Fabián Di María Hernández,,
7,2995.0,Ángel Fabián Di María Hernández,Argentina,115.1,21.3,98.7,51.7,7797.0,Rodrigo Javier De Paul,,
8,5503.0,Lionel Andrés Messi Cuccittini,Argentina,120.0,80.0,116.6,54.5,,,9.0,Incomplete
8,7797.0,Rodrigo Javier De Paul,Argentina,95.2,65.6,107.9,72.9,5503.0,Lionel Andrés Messi Cuccittini,,
8,5503.0,Lionel Andrés Messi Cuccittini,Argentina,108.2,74.4,86.3,67.5,7797.0,Rodrigo Javier De Paul,,
8,7797.0,Rodrigo Javier De Paul,Argentina,87.7,67.7,108.7,41.5,,,9.0,Incomplete
11,3099.0,Hugo Lloris,France,9.0,38.2,80.5,56.0,3604.0,Olivier Giroud,,
11,3604.0,Olivier Giroud,France,74.3,58.3,88.2,63.5,,,9.0,Incomplete
11,5507.0,Nicolás Alejandro Tagliafico,Argentina,31.9,16.6,51.6,26.5,29560.0,Julián Álvarez,9.0,Incomplete
11,3026.0,Adrien Rabiot,France,68.5,53.6,79.2,62.8,5487.0,Antoine Griezmann,,
11,5487.0,Antoine Griezmann,France,78.5,63.3,82.6,57.3,3604.0,Olivier Giroud,,
11,3604.0,Olivier Giroud,France,79.8,58.1,84.5,49.4,,,9.0,Incomplete
11,20572.0,Cristian Gabriel Romero,Argentina,35.6,33.9,39.4,30.5,38718.0,Enzo Fernandez,9.0,Incomplete
11,7797.0,Rodrigo Javier De Paul,Argentina,31.5,28.8,42.0,22.2,27886.0,Alexis Mac Allister,,
11,27886.0,Alexis Mac Allister,Argentina,41.8,22.0,44.8,3.6,2995.0,Ángel Fabián Di María Hernández,,
11,2995.0,Ángel Fabián Di María Hernández,Argentina,43.9,2.7,31.1,5.3,5507.0,Nicolás Alejandro Tagliafico,,
11,5507.0,Nicolás Alejandro Tagliafico,Argentina,31.1,5.3,18.7,14.1,3090.0,Nicolás Hernán Otamendi,,
11,3090.0,Nicolás Hernán Otamendi,Argentina,18.0,14.7,6.0,33.5,6909.0,Damián Emiliano Martínez,,
11,6909.0,Damián Emiliano Martínez,Argentina,6.5,41.6,10.1,48.9,20572.0,Cristian Gabriel Romero,,
11,20572.0,Cristian Gabriel Romero,Argentina,9.3,48.9,27.9,48.1,38718.0,Enzo Fernandez,,
11,38718.0,Enzo Fernandez,Argentina,33.9,51.1,112.1,58.1,29560.0,Julián Álvarez,9.0,Incomplete
11,5485.0,Raphaël Varane,France,8.0,22.0,2.6,29.0,3099.0,Hugo Lloris,,
11,3099.0,Hugo Lloris,France,3.3,29.7,53.1,19.2,,,9.0,Incomplete
11,29201.0,Nahuel Molina Lucero,Argentina,67.0,60.9,64.7,49.3,38718.0,Enzo Fernandez,,
11,38718.0,Enzo Fernandez,Argentina,68.3,51.1,76.9,63.9,7797.0,Rodrigo Javier De Paul,,
11,7797.0,Rodrigo Javier De Paul,Argentina,79.8,70.1,79.8,54.3,5503.0,Lionel Andrés Messi Cuccittini,,
11,5503.0,Lionel Andrés Messi Cuccittini,Argentina,80.5,47.8,105.1,14.7,2995.0,Ángel Fabián Di María Hernández,,
11,2995.0,Ángel Fabián Di María Hernández,Argentina,106.4,16.2,106.4,39.1,5503.0,Lionel Andrés Messi Cuccittini,9.0,Incomplete
12,2995.0,Ángel Fabián Di María Hernández,Argentina,101.9,13.0,96.7,23.7,7797.0,Rodrigo Javier De Paul,,
12,7797.0,Rodrigo Javier De Paul,Argentina,96.7,24.7,97.8,33.7,5503.0,Lionel Andrés Messi Cuccittini,,
12,3099.0,Hugo Lloris,France,15.4,36.1,84.7,48.9,,,9.0,Incomplete
12,3090.0,Nicolás Hernán Otamendi,Argentina,35.4,31.2,74.5,28.6,,,9.0,Incomplete
12,5485.0,Raphaël Varane,France,45.2,52.4,65.7,71.6,5487.0,Antoine Griezmann,,
12,5487.0,Antoine Griezmann,France,66.4,74.4,55.4,77.2,4445.0,Jules Koundé,,
12,4445.0,Jules Koundé,France,61.2,77.4,74.7,65.6,5477.0,Ousmane Dembélé,,
12,5477.0,Ousmane Dembélé,France,90.3,66.3,93.3,19.2,6704.0,Theo Bernard François Hernández,,
13,6704.0,Theo Bernard François Hernández,France,94.2,17.7,100.6,14.3,3009.0,Kylian Mbappé Lottin,,
13,3009.0,Kylian Mbappé Lottin,France,99.1,19.2,99.5,28.2,3026.0,Adrien Rabiot,,
13,3026.0,Adrien Rabiot,France,99.5,28.2,116.6,29.0,3009.0,Kylian Mbappé Lottin,9.0,Incomplete
13,6909.0,Damián Emiliano Martínez,Argentina,4.8,42.3,22.1,24.7,3090.0,Nicolás Hernán Otamendi,,
13,3090.0,Nicolás Hernán Otamendi,Argentina,22.3,23.0,31.3,26.0,38718.0,Enzo Fernandez,,
13,38718.0,Enzo Fernandez,Argentina,31.5,26.0,23.6,19.6,3090.0,Nicolás Hernán Otamendi,,
13,3090.0,Nicolás Hernán Otamendi,Argentina,23.4,21.5,14.8,51.3,20572.0,Cristian Gabriel Romero,,
13,20572.0,Cristian Gabriel Romero,Argentina,16.5,55.1,57.8,43.8,29560.0,Julián Álvarez,,
13,29560.0,Julián Álvarez,Argentina,57.6,43.6,52.5,56.2,5503.0,Lionel Andrés Messi Cuccittini,,
13,5503.0,Lionel Andrés Messi Cuccittini,Argentina,52.5,56.4,59.5,52.6,29560.0,Julián Álvarez,,
13,29560.0,Julián Álvarez,Argentina,59.5,52.6,56.1,55.5,5503.0,Lionel Andrés Messi Cuccittini,9.0,Incomplete
13,27886.0,Alexis Mac Allister,Argentina,63.8,33.7,79.2,10.4,2995.0,Ángel Fabián Di María Hernández,,
13,2995.0,Ángel Fabián Di María Hernández,Argentina,86.5,22.2,87.1,51.9,5503.0,Lionel Andrés Messi Cuccittini,,
13,5503.0,Lionel Andrés Messi Cuccittini,Argentina,95.2,48.5,104.9,35.2,29560.0,Julián Álvarez,9.0,Incomplete
13,5507.0,Nicolás Alejandro Tagliafico,Argentina,94.8,20.5,109.1,21.5,2995.0,Ángel Fabián Di María Hernández,76.0,Pass Offside
14,3099.0,Hugo Lloris,France,13.9,48.5,76.2,64.6,3604.0,Olivier Giroud,,
14,3604.0,Olivier Giroud,France,76.6,64.8,89.0,74.4,5477.0,Ousmane Dembélé,,
14,5477.0,Ousmane Dembélé,France,89.5,75.9,80.0,74.4,3604.0,Olivier Giroud,,
14,3604.0,Olivier Giroud,France,79.8,74.4,80.9,62.6,5487.0,Antoine Griezmann,,
14,29560.0,Julián Álvarez,Argentina,46.7,24.5,45.6,35.2,7797.0,Rodrigo Javier De Paul,,
14,7797.0,Rodrigo Javier De Paul,Argentina,52.7,39.9,62.9,23.5,27886.0,Alexis Mac Allister,,
14,27886.0,Alexis Mac Allister,Argentina,64.4,20.7,75.6,9.6,2995.0,Ángel Fabián Di María Hernández,,
14,2995.0,Ángel Fabián Di María Hernández,Argentina,76.4,6.8,55.7,4.9,5507.0,Nicolás Alejandro Tagliafico,,
14,5507.0,Nicolás Alejandro Tagliafico,Argentina,53.7,4.0,62.9,13.6,27886.0,Alexis Mac Allister,,
14,27886.0,Alexis Mac Allister,Argentina,63.2,17.3,56.1,33.5,38718.0,Enzo Fernandez,,
14,38718.0,Enzo Fernandez,Argentina,55.2,37.6,66.8,71.4,29201.0,Nahuel Molina Lucero,,
14,29201.0,Nahuel Molina Lucero,Argentina,68.1,72.4,47.3,61.8,20572.0,Cristian Gabriel Romero,,
14,20572.0,Cristian Gabriel Romero,Argentina,47.3,57.5,51.2,25.6,3090.0,Nicolás Hernán Otamendi,,
15,3090.0,Nicolás Hernán Otamendi,Argentina,62.3,20.9,77.3,3.1,2995.0,Ángel Fabián Di María Hernández,,
15,2995.0,Ángel Fabián Di María Hernández,Argentina,76.2,2.3,62.5,5.3,5507.0,Nicolás Alejandro Tagliafico,,
15,5507.0,Nicolás Alejandro Tagliafico,Argentina,62.3,5.7,57.2,17.7,38718.0,Enzo Fernandez,,
15,38718.0,Enzo Fernandez,Argentina,57.6,17.7,47.3,22.0,3090.0,Nicolás Hernán Otamendi,,
15,3090.0,Nicolás Hernán Otamendi,Argentina,46.9,23.0,48.4,27.1,38718.0,Enzo Fernandez,,
15,38718.0,Enzo Fernandez,Argentina,47.8,28.4,42.4,47.0,20572.0,Cristian Gabriel Romero,,
15,20572.0,Cristian Gabriel Romero,Argentina,52.9,53.2,68.3,3.4,2995.0,Ángel Fabián Di María Hernández,,
15,2995.0,Ángel Fabián Di María Hernández,Argentina,68.3,3.4,56.3,12.8,3090.0,Nicolás Hernán Otamendi,,
15,3090.0,Nicolás Hernán Otamendi,Argentina,54.2,17.0,91.8,78.6,29201.0,Nahuel Molina Lucero,75.0,Out
15,6704.0,Theo Bernard François Hernández,France,19.1,0.1,22.7,7.7,3026.0,Adrien Rabiot,,
15,3026.0,Adrien Rabiot,France,27.6,5.9,19.7,17.1,8519.0,Dayotchanculle Upamecano,,
15,8519.0,Dayotchanculle Upamecano,France,19.1,23.5,19.7,41.9,5485.0,Raphaël Varane,,
15,5485.0,Raphaël Varane,France,39.8,57.7,33.0,71.6,4445.0,Jules Koundé,,
16,4445.0,Jules Koundé,France,33.4,69.0,24.2,32.5,8519.0,Dayotchanculle Upamecano,,
16,8519.0,Dayotchanculle Upamecano,France,27.0,31.8,45.2,6.4,6704.0,Theo Bernard François Hernández,,
16,6704.0,Theo Bernard François Hernández,France,41.8,4.7,45.4,8.1,3009.0,Kylian Mbappé Lottin,9.0,Incomplete
